realProfileID,venue,year,title,authors
1951,VLDB,2002,A New Passenger Support System for Public Transport using Mobile Database Access,"K. Goto, Y. Kambayashi"
1963,SIGMOD,2002,Approximate XML joins,"H. V. Jagadish, T. Yu, D. Srivastava, S. Guha, N. Koudas"
1964,SIGMOD,2002,Statistical synopses for graph-structured XML databases,"M. N. Garofalakis, N. Polyzotis"
1978,SIGMOD,2002,Foundations of Statistical Natural Language Processing - Book Review,G. Weikum
1991,SIGMOD,2002,StatiX: making XML count,"J. R. Haritsa, J. Freire, M. Ramanath, P. Roy, J. Sim�on"
2002,SIGMOD,2002,Conceptual Modeling and Specification Generation for B2B Business Process based on ebXML,H. Kim
2022,SIGMOD,2002,Amicalola Report: Database and Information System Research Challenges and Opportunities in Semantic Web and Enterprises,"R. Meersman, A. P. Sheth"
2028,SIGMOD,2002,Accelerating XPath location steps,T. Grust
2043,VLDB,2002,Lightweight Flexible Isolation for Language-based Extensible Systems,"L. Dayn�s, G. Czajkowski"
2046,VLDB,2002,Efficient schemes for managing multiversionXML documents,"S. Chien, C. Zaniolo, V. J. Tsotras"
2054,VLDB,2002,Improving Data Access of J2EE Applications by Exploiting Asynchronous Messaging and Caching Services,"S. Kounev, A. P. Buchmann"
2073,SIGMOD,2002,Garlic: a new flavor of federated query processing for DB2,"P. M. Schwarz, L. M. Haas, V. Josifovski, E. T. Lin"
2081,VLDB,2002,Efficient Structural Joins on Indexed XML Documents,"Z. Vagena, S. Chien, V. J. Tsotras, C. Zaniolo, D. Zhang"
2082,VLDB,2002,Foundations of Preferences in Database Systems,W. Kie�ling
2083,SIGMOD,2002,Data Mining: Concepts and Techniques - Book Review,"F. B. Galiano, N. Mar�n"
2085,VLDB,2002,A Transducer-Based XML Query Processor,"B. Lud�scher, P. Mukhopadhyay, Y. Papakonstantinou"
2086,VLDB,2002,ALIAS: An Active Learning led Interactive Deduplication System,"A. Bhamidipaty, S. Sarawagi, C. Mouli, A. Kirpal"
2088,VLDB,2002,Experience Report: Exploiting Advanced Database Optimization Features for Large-Scale SAP R/3 Installations,"B. Zeller, A. Kemper"
2090,VLDB,2002,Optimizing View Queries in ROLEX to Support Navigable Result Trees,"P. Shenoy, P. Bohannon, P. P. S. Narayan, H. F. Korth, S. Ganguly"
2095,VLDB,2002,Issues and Evaluations of Caching Solutions for Web Application Acceleration,"O. Po, D. Agrawal, R. Sion, W. Li, W. Hsiung, D. V. Kalashnikov, K. S. Candan"
2109,SIGMOD,2002,Automating physical database design in a parallel database,"C. Zhang, G. M. Lohman, J. Rao, N. Megiddo"
2116,VLDB,2002,Parametric Query Optimization for Linear and Piecewise Linear Cost Functions,"S. Sudarshan, A. Hulgeri"
2126,SIGMOD,2002,Middle-tier database caching for e-business,"H. Pirahesh, C. Mohan, J. F. Naughton, S. Krishnamurthy, H. Woo, Q. Luo, B. G. Lindsay"
2135,SIGMOD,2002,Fractal prefetching B�Trees: optimizing both cache and disk performance,"P. B. Gibbons, G. Valentin, T. C. Mowry, S. Chen"
2138,SIGMOD,2002,The n-Tier Hub Technology,"R. A. Sommer, D. Bailey, T. R. Gulledge"
2148,VLDB,2002,OBK - An Online High Energy Physics' Meta-Data Repository,"L. Pedro, V. Kotov, I. Papadopoulos, L. Mapelli, A. Ribeiro, A. Amorim, R. Hart, M. Nassiakou, H. Wolters, N. Parrington, D. Liko, Y. Ryabov, R. Jones, I. Alexandrov, L. Lucio, I. Soloviev, M. Caprini, E. Badescu, S. Kolos, M. Dobson, L. Moneta, D. Schweiger, M. Barczyk, A. Kazarov, D. Burckhart-chromek, M. Mineev, J. Flammer"
2162,VLDB,2002,Searching on the Secondary Structure of Protein Sequences,"J. M. Patel, L. Hammel"
2174,VLDB,2002,Quotient Cube: How to Summarize the Semantics of a Data Cube,"L. V. S. Lakshmanan, J. Pei, J. Han"
2176,SIGMOD,2002,Hector Garcia-Molina Speaks Out,M. Winslett
2182,ACM Trans,2002,Top-k selection queries over relational databases: Mapping strategies and performance evaluation,"S. Chaudhuri, N. Bruno, L. Gravano"
2191,VLDB,2002,enTrans: A System for Flexible Consistency Maintenance in Directory Applications,"A. Herlekar, A. Deopujari, S. Gopale, S. Shukla, K. Ramamritham"
2201,SIGMOD,2002,Mid-tier caching: the TimesTen approach,T. Team
2218,ACM Trans,2002,A logical foundation for deductive object-oriented databases,"M. Liu, T. W. Ling, G. Dobbie"
2229,VLDB,2002,Self-tuning Database Technology and Information Services: from Wishful Thinking to Viable Engineering,"P. Zabback, C. Hasse, G. Weikum, A. M�nkeberg"
2249,VLDB,2002,Incorporating XSL Processing into Database Engines,G. Moerkotte
2250,VLDB,2002,Streaming Queries over Streaming Data,"M. J. Franklin, S. Chandrasekaran"
2260,VLDB,2002,Adaptive Index Structures,"Y. Tao, D. Papadias"
2267,SIGMOD,2002,HD-Eye: visual clustering of high dimensional data,"D. A. Keim, M. Wawryniuk, A. Hinneburg"
2283,VLDB,2002,Chip-Secured Data Access: Confidential Data on Untrusted Servers,"P. Pucheral, L. Bouganim"
2312,VLDB,2002,An Efficient Method for Performing Record Deletions and Updates Using Index Scans,C. Mohan
2313,SIGMOD,2002,A Study on the Management of Semantic Transaction for Efficient Data Retrieval,"C. Li, I. S. Y. Kwan, S. Huang"
2320,VLDB,2002,Efficient Exploration of Large Scientific Databases,"G. Alonso, E. Stolte"
2334,SIGMOD,2002,"Agents, Turst, and Information Access on the Semantic Web","T. W. Finin, A. Joshi"
2338,SIGMOD,2002,Holistic twig joins: optimal XML pattern matching,"D. Srivastava, N. Koudas, N. Bruno"
2343,SIGMOD,2002,Semantic B2B Integration: Issues in Ontology-based Applications,"Z. Cui, P. O'brien, D. M. Jones"
2351,VLDB,2002,ServiceGlobe: Distributing E-Services Across the Internet,"K. Stocker, A. Kemper, S. Seltzsam, M. Keidl"
2362,VLDB,2002,The Rubicon of Smart Data,R. King
2375,SIGMOD,2002,ACDN: a content delivery network for applications,"M. Rabinovich, P. Karbhari, F. Douglis, Z. Xiao"
2376,VLDB,2002,Updates for Structure Indexes,"J. F. Naughton, P. Shenoy, R. Kaushik, P. Bohannon"
2379,VLDB,2002,Shooting Stars in the Sky: An Online Algorithm for Skyline Queries,"D. Kossmann, F. Ramsak, S. Rost"
2392,VLDB,2002,SELF-SERV: A Platform for Rapid Composition of Web Services in a Peer-to-Peer Environment,"E. O. Mak, Q. Z. Sheng, B. Benatallah, M. Dumas"
2397,SIGMOD,2002,A Pictorial Query Language for Querying Geographic Databases using Positional and OLAP Operators,"E. Pourabbas, M. Rafanelli"
2415,SIGMOD,2002,Conceptual Model of Web Service Reputation,"M. P. Singh, E. M. Maximilien"
2422,VLDB,2002,Extending an ORDBMS: The StateMachine Module,"W. Mahnke, C. Mathis, H. Steiert"
2428,SIGMOD,2002,An Active Functionality Service for E-Business Applications,"M. Cilia, A. P. Buchmann"
2443,VLDB,2002,COMA - A System for Flexible Combination of Schema Matching Approaches,"E. Rahm, H. H. Do"
2460,VLDB,2002,Structure and Value Synopses for XML Data Graphs,"N. Polyzotis, M. N. Garofalakis"
2474,VLDB,2002,"The gRNA: A Highly Programmable Infrastructure for Prototyping, Developing and Deploying Genomics-Centric Applications","S. S. Bhowmick, P. Cruz, D. T. Singh, G. Rajesh, A. V. Laud"
2484,SIGMOD,2002,Emergent Semantics and the Multimedia Semantic Web,"W. I. Grosky, F. Fotouhi, D. V. Sreenath"
2494,SIGMOD,2002,XmdvTool: visual interactive data exploration and trend discovery of high-dimensional data sets,"E. A. Rundensteiner, P. R. Doshi, J. Yang, M. O. Ward"
2495,SIGMOD,2002,Contracting in the Days of eBusiness,"W. H�mmer, W. Lehner, H. Wedekind"
2503,SIGMOD,2002,Reminiscences on Influential Papers,"K. Voruganti, R. J. Miller, K. A. Ross, F. Korn"
2506,VLDB,2002,EOS: Exactly-Once E-Service Middleware,"G. Weikum, D. B. Lomet, G. Shegalov, R. S. Barga"
